"site2","Yr","Mnth.x","Julian","Hr","count","Mnth.y","degc_avg"
"A",2019,"Jun",160,14,0,"Jun",36.2
"A",2019,"Jun",160,15,0,"Jun",35.9222222222222
"A",2019,"Jun",160,16,0,"Jun",35.8666666666667
"A",2019,"Jun",160,17,0,"Jun",32.7166666666667
"A",2019,"Jun",160,18,0,"Jun",28.1555555555556
"A",2019,"Jun",160,19,0,"Jun",25.6722222222222
"A",2019,"Jun",160,20,0,"Jun",23.0777777777778
"A",2019,"Jun",160,21,0,"Jun",21.5333333333333
"A",2019,"Jun",160,22,0,"Jun",20.8444444444444
"A",2019,"Jun",160,23,0,"Jun",19.65
"A",2019,"Jun",161,0,0,"Jun",19.6666666666667
"A",2019,"Jun",161,1,0,"Jun",21.5388888888889
"A",2019,"Jun",161,2,0,"Jun",20.9444444444444
"A",2019,"Jun",161,3,0,"Jun",19.0666666666667
"A",2019,"Jun",161,4,0,"Jun",18.65
"A",2019,"Jun",161,5,0,"Jun",19.0666666666667
"A",2019,"Jun",161,6,0,"Jun",19.75
"A",2019,"Jun",161,7,0,"Jun",23.0833333333333
"A",2019,"Jun",161,8,0,"Jun",27.7111111111111
"A",2019,"Jun",161,9,0,"Jun",31.5055555555556
"A",2019,"Jun",161,10,0,"Jun",33.3777777777778
"A",2019,"Jun",161,11,0,"Jun",35.7444444444444
"A",2019,"Jun",161,12,0,"Jun",38.1111111111111
"A",2019,"Jun",161,13,0,"Jun",38.2388888888889
"A",2019,"Jun",161,14,0,"Jun",39.1
"A",2019,"Jun",161,15,0,"Jun",38.0722222222222
"A",2019,"Jun",161,16,0,"Jun",34.9222222222222
"A",2019,"Jun",161,17,0,"Jun",30.7388888888889
"A",2019,"Jun",161,18,0,"Jun",29.1722222222222
"A",2019,"Jun",161,19,0,"Jun",25.7111111111111
"A",2019,"Jun",161,20,0,"Jun",23.0222222222222
"A",2019,"Jun",161,21,0,"Jun",23.6388888888889
"A",2019,"Jun",161,22,0,"Jun",25.2166666666667
"A",2019,"Jun",161,23,0,"Jun",25.0944444444444
"A",2019,"Jun",162,0,0,"Jun",24.6777777777778
"A",2019,"Jun",162,1,0,"Jun",22.9166666666667
"A",2019,"Jun",162,2,0,"Jun",21.4277777777778
"A",2019,"Jun",162,3,0,"Jun",19.7944444444444
"A",2019,"Jun",162,4,0,"Jun",19.7388888888889
"A",2019,"Jun",162,5,0,"Jun",17.2944444444444
"A",2019,"Jun",162,6,0,"Jun",19.6333333333333
"A",2019,"Jun",162,7,0,"Jun",22.8388888888889
"A",2019,"Jun",162,8,0,"Jun",30.3
"A",2019,"Jun",162,9,0,"Jun",32.6277777777778
"A",2019,"Jun",162,10,0,"Jun",35.2777777777778
