"datetime","pest_nmbr","pest_dif","reviewed","event","site"
2019-05-08 23:01:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 00:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 00:55:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 01:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 02:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 03:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 04:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 06:09:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 06:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 07:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 08:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 09:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 10:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 11:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 12:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 13:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 14:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 15:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 16:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 17:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 18:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 19:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 20:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 22:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-09 23:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 00:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 01:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 01:55:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 02:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 03:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 04:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 05:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 06:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 07:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 08:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 09:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 10:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 11:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 12:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 13:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 14:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 15:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 16:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 17:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 18:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 19:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 20:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 21:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-10 23:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 00:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 01:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 02:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 02:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 03:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 04:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 05:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 06:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 07:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 08:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 09:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 10:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 11:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 12:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 13:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 14:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 15:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 16:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 17:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 18:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 19:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 20:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 21:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-11 22:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 00:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 01:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 02:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 03:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 03:55:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 04:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 05:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 06:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 07:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 08:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 09:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 10:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 11:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 12:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 13:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 14:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 15:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 16:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 17:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 18:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 19:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 20:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 21:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 22:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-12 23:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 01:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 02:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 03:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 04:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 05:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 06:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 07:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 08:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 09:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 10:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 12:06:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 12:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 13:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 14:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 15:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 16:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 17:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 18:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 19:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 20:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 21:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-13 22:59:00,3,0,"Yes",NA,"UCKearney"
2019-05-14 01:00:00,3,0,"Yes",NA,"UCKearney"
2019-05-14 02:00:00,3,0,"Yes",NA,"UCKearney"
